search_term,page_number,link,pid,lid
bags for girls,1,https://www.flipkart.com/hyper-adam-girls-college-backpack-coaching-tuition-waterproof-school-bag/p/itm1e3e810939c0a?pid=BAGGUBJX8F75D3YZ&lid=LSTBAGGUBJX8F75D3YZQB6X7P&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_11&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGUBJX8F75D3YZ.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGUBJX8F75D3YZ,LSTBAGGUBJX8F75D3YZQB6X7P
bags for girls,1,https://www.flipkart.com/jairaj-school-bags-girls-college-coaching-bag-laptop-backpack-tuition-40-l/p/itm02a5f7845fa0d?pid=BKPH4ZSZZXQHJHZC&lid=LSTBKPH4ZSZZXQHJHZCORJUYS&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_12&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPH4ZSZZXQHJHZC.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPH4ZSZZXQHJHZC,LSTBKPH4ZSZZXQHJHZCORJUYS
bags for girls,1,https://www.flipkart.com/seeba-spacy-unisex-backpack-rain-cover-reflective-strip-40-l-laptop/p/itm958b3263dd8aa?pid=BKPGPYZGRWW4SGGG&lid=LSTBKPGPYZGRWW4SGGGEUKCEB&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_13&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPGPYZGRWW4SGGG.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPGPYZGRWW4SGGG,LSTBKPGPYZGRWW4SGGGEUKCEB
bags for girls,1,https://www.flipkart.com/xovee-new-stylish-cute-mini-3pcs-combo-5-l-backpack/p/itm114db63e1d55c?pid=BKPGRVSVTYPGC5AC&lid=LSTBKPGRVSVTYPGC5ACFBVAIV&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_14&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPGRVSVTYPGC5AC.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPGRVSVTYPGC5AC,LSTBKPGRVSVTYPGC5ACFBVAIV
bags for girls,1,https://www.flipkart.com/tinytot-purple-school-backpack-pencil-pouch-3rd-10th-std-waterproof-bag/p/itm75377dc29c4a6?pid=BAGFJN6JKXRACWYQ&lid=LSTBAGFJN6JKXRACWYQGA8WJY&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_15&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGFJN6JKXRACWYQ.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGFJN6JKXRACWYQ,LSTBAGFJN6JKXRACWYQGA8WJY
bags for girls,1,https://www.flipkart.com/kgn-collection-latest-casual-school-college-bag-women-girls-green-backpack/p/itmcd2bbb85eac1b?pid=BAGFZAFHFGEK9G8W&lid=LSTBAGFZAFHFGEK9G8WK2LAEH&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_16&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGFZAFHFGEK9G8W.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGFZAFHFGEK9G8W,LSTBAGFZAFHFGEK9G8WK2LAEH
bags for girls,1,https://www.flipkart.com/ashcrafzee-attractive-women-s-girls-college-traveling-waterproof-backpack/p/itmf9405ccc53866?pid=BAGGSH7JTY5DFYGU&lid=LSTBAGGSH7JTY5DFYGUQBANHB&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_17&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGSH7JTY5DFYGU.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGSH7JTY5DFYGU,LSTBAGGSH7JTY5DFYGUQBANHB
bags for girls,1,https://www.flipkart.com/hyper-adam-girls-college-coaching-backpack-tuition-bag-waterproof-school/p/itmb031bd724bdc2?pid=BAGGUBG7YE5BFN9M&lid=LSTBAGGUBG7YE5BFN9M1JHB3H&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_18&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGUBG7YE5BFN9M.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGUBG7YE5BFN9M,LSTBAGGUBG7YE5BFN9M1JHB3H
bags for girls,1,https://www.flipkart.com/alison-attractive-women-s-girls-college-traveling-school-waterproof-backpack/p/itm32f4b570f2b00?pid=BAGGUW4HZYXWWTZE&lid=LSTBAGGUW4HZYXWWTZEHZ2ACJ&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_19&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGUW4HZYXWWTZE.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGUW4HZYXWWTZE,LSTBAGGUW4HZYXWWTZEHZ2ACJ
bags for girls,1,https://www.flipkart.com/momisy-messengerbag-black-sling-bag/p/itmfd07e67d2a003?pid=BAGG9MWJGVQGEHZ6&lid=LSTBAGG9MWJGVQGEHZ6AJRLEE&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_20&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGG9MWJGVQGEHZ6.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGG9MWJGVQGEHZ6,LSTBAGG9MWJGVQGEHZ6AJRLEE
bags for girls,1,https://www.flipkart.com/indian-riders-barble-girl-school-kids-bag-16-inches-queen-pink-trolley-waterproof/p/itmc384a1caef1c8?pid=BAGGQAKZNE6WVC5H&lid=LSTBAGGQAKZNE6WVC5HWKBXIL&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_21&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGQAKZNE6WVC5H.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGQAKZNE6WVC5H,LSTBAGGQAKZNE6WVC5HWKBXIL
bags for girls,1,https://www.flipkart.com/grabon-new-flower-embroidered-artistic-national-style-women-s-backpack-12-l/p/itmb9315a5bdd353?pid=BKPGZPEGJBU8YCXU&lid=LSTBKPGZPEGJBU8YCXUNFAAC4&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_22&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPGZPEGJBU8YCXU.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPGZPEGJBU8YCXU,LSTBKPGZPEGJBU8YCXUNFAAC4
bags for girls,1,https://www.flipkart.com/jaisom-small-10l-trending-multipurpose-backpack-college-office-school-travel-etc-10-l/p/itmfb6058ea9c741?pid=BKPHYDXG2ZJFQPQG&lid=LSTBKPHYDXG2ZJFQPQGZVUAXD&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_23&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPHYDXG2ZJFQPQG.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPHYDXG2ZJFQPQG,LSTBKPHYDXG2ZJFQPQGZVUAXD
bags for girls,1,https://www.flipkart.com/indian-riders-baby-wonder-girl-school-kids-bag-16-inches-queen-pink-trolley-waterproof/p/itm722aeaefe8540?pid=BAGFPY9HEMYGTEZZ&lid=LSTBAGFPY9HEMYGTEZZ4WNKU1&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_24&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGFPY9HEMYGTEZZ.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGFPY9HEMYGTEZZ,LSTBAGFPY9HEMYGTEZZ4WNKU1
bags for girls,1,https://www.flipkart.com/happychild-bts-backpack-girls-school-backback-student-travel-laptop-bag-waterproof/p/itmbeb3030f61625?pid=BAGH7E4G6JNYGFHB&lid=LSTBAGH7E4G6JNYGFHBV9CC1X&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_25&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGH7E4G6JNYGFHB.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGH7E4G6JNYGFHB,LSTBAGH7E4G6JNYGFHBV9CC1X
bags for girls,1,https://www.flipkart.com/tinytot-black-school-backpack-pencil-pouch-3rd-10th-std-age-7-15-waterproof-bag/p/itmc79bff8d9b94d?pid=BAGFJN5JQGKZ64YG&lid=LSTBAGFJN5JQGKZ64YGRHVEVG&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_26&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGFJN5JQGKZ64YG.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGFJN5JQGKZ64YG,LSTBAGFJN5JQGKZ64YGRHVEVG
bags for girls,1,https://www.flipkart.com/sozen-styles-small-5-l-backpack-stylish-cute-mini-3-pcs-combo-set-girls-pink/p/itmc71e0b39359ea?pid=BAGH3PSFSCZD5B73&lid=LSTBAGH3PSFSCZD5B73ZEXPPP&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_27&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGH3PSFSCZD5B73.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGH3PSFSCZD5B73,LSTBAGH3PSFSCZD5B73ZEXPPP
bags for girls,1,https://www.flipkart.com/arghav-unicorn-soft-bag-12l-12-l-backpack/p/itmc2c133e99d2d9?pid=BKPH7FFHPZKKUZ2H&lid=LSTBKPH7FFHPZKKUZ2HSC1JVT&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_28&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPH7FFHPZKKUZ2H.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPH7FFHPZKKUZ2H,LSTBKPH7FFHPZKKUZ2HSC1JVT
