search_term,page_number,link,pid,lid
bags for men,1,https://www.flipkart.com/wesley-zeus-unisex-laptop-backpack-office-college-bag-business-bag-30-l-35/p/itm993cd2f49d815?pid=BKPGYEVWNDTYPFZH&lid=LSTBKPGYEVWNDTYPFZHTY59QC&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_12&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGYEVWNDTYPFZH.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGYEVWNDTYPFZH,LSTBKPGYEVWNDTYPFZHTY59QC
bags for men,1,https://www.flipkart.com/perfect-leather-trendy-college-school-travel-causal-carrying-1680-men-bags-25-l-laptop-backpack/p/itm2b12eb2178dee?pid=BKPG2JEEXKJMBTZC&lid=LSTBKPG2JEEXKJMBTZC3GKAK9&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_13&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPG2JEEXKJMBTZC.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPG2JEEXKJMBTZC,LSTBKPG2JEEXKJMBTZC3GKAK9
bags for men,1,https://www.flipkart.com/provogue-rain-cover-reflective-strip-35-l-laptop-backpack/p/itm4ac541d4eed26?pid=BKPFXYYQTUSR8QCG&lid=LSTBKPFXYYQTUSR8QCGTUUMEP&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_14&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFXYYQTUSR8QCG.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFXYYQTUSR8QCG,LSTBKPFXYYQTUSR8QCGTUUMEP
bags for men,1,https://www.flipkart.com/safari-flux-24-l-backpack/p/itm4ae1f7b8539ff?pid=BKPH26DKNHBCNEWF&lid=LSTBKPH26DKNHBCNEWFTGAZNQ&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_15&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPH26DKNHBCNEWF.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPH26DKNHBCNEWF,LSTBKPH26DKNHBCNEWFTGAZNQ
bags for men,1,https://www.flipkart.com/wesley-spartan-unisex-travel-rucksack-hiking-laptop-bag-fits-upto-17-3-inch-raincover-internal-organiser-backpack-college-45-l/p/itmb6c34af309bd7?pid=BKPG4YVYHZVMZUCH&lid=LSTBKPG4YVYHZVMZUCHUJSHDT&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_16&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPG4YVYHZVMZUCH.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPG4YVYHZVMZUCH,LSTBKPG4YVYHZVMZUCHUJSHDT
bags for men,1,https://www.flipkart.com/wrogn-ashper-unisex-usb-port-rain-cover-40-l-laptop-backpack/p/itm05039299dc32c?pid=BKPGMMHFZSXF4UUM&lid=LSTBKPGMMHFZSXF4UUMO6UR2E&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_17&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGMMHFZSXF4UUM.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGMMHFZSXF4UUM,LSTBKPGMMHFZSXF4UUMO6UR2E
bags for men,1,https://www.flipkart.com/provogue-spacy-unisex-rain-cover-reflective-strip-35-l-laptop-backpack/p/itm6cdfc8583f28a?pid=BKPFWHX3ZSZJPGNG&lid=LSTBKPFWHX3ZSZJPGNGBX8JJD&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_18&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFWHX3ZSZJPGNG.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFWHX3ZSZJPGNG,LSTBKPFWHX3ZSZJPGNGBX8JJD
bags for men,1,https://www.flipkart.com/safari-daypack-sea-blue-15-l-backpack/p/itma60ac6e0c8314?pid=BKPGZFFFZFCDQFFE&lid=LSTBKPGZFFFZFCDQFFEWAPY2L&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_19&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGZFFFZFCDQFFE.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGZFFFZFCDQFFE,LSTBKPGZFFFZFCDQFFEWAPY2L
bags for men,1,https://www.flipkart.com/gear-vintage-2-anti-theft-faux-leather-31-l-laptop-backpack/p/itm87d0af08389fc?pid=BKPHF4MUHTYZE7NN&lid=LSTBKPHF4MUHTYZE7NNGXLDD1&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_20&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPHF4MUHTYZE7NN.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPHF4MUHTYZE7NN,LSTBKPHF4MUHTYZE7NNGXLDD1
bags for men,1,https://www.flipkart.com/safari-daypack-15-l-backpack/p/itmdbda39ce5cb64?pid=BKPFFFQPRWSGWH3E&lid=LSTBKPFFFQPRWSGWH3EOHX4ZU&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_21&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFFFQPRWSGWH3E.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFFFQPRWSGWH3E,LSTBKPFFFQPRWSGWH3EOHX4ZU
