search_term,page_number,link,pid,lid
shoes for men,1,https://www.flipkart.com/sparx-sm-796-running-shoes-men/p/itm8ddb7a4b840c5?pid=SHOH8YEJJN7N7ZZM&lid=LSTSHOH8YEJJN7N7ZZMQ1WRC4&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_11&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH8YEJJN7N7ZZM.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH8YEJJN7N7ZZM,LSTSHOH8YEJJN7N7ZZMQ1WRC4
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-unisex-running-shoes-men/p/itm5581a94f4c3fd?pid=SHOH7SKSTZPMMHPZ&lid=LSTSHOH7SKSTZPMMHPZS2A0FL&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_12&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7SKSTZPMMHPZ.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7SKSTZPMMHPZ,LSTSHOH7SKSTZPMMHPZS2A0FL
shoes for men,1,https://www.flipkart.com/action-mocassin-men/p/itma54891a4faf85?pid=SHOH7XBFYSRQ7UG6&lid=LSTSHOH7XBFYSRQ7UG6WSRB11&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_13&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7XBFYSRQ7UG6.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7XBFYSRQ7UG6,LSTSHOH7XBFYSRQ7UG6WSRB11
shoes for men,1,https://www.flipkart.com/onmac-enterprises-running-shoes-men-sports/p/itmd3fa380864dfc?pid=SHOH7ZXSGYDWGYKM&lid=LSTSHOH7ZXSGYDWGYKMYBGLOW&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_14&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7ZXSGYDWGYKM.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7ZXSGYDWGYKM,LSTSHOH7ZXSGYDWGYKMYBGLOW
shoes for men,1,https://www.flipkart.com/berkins-sneakers-men/p/itm00a03617e7c53?pid=SHOH79PRPHAQ7NF8&lid=LSTSHOH79PRPHAQ7NF8O6VE22&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_15&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH79PRPHAQ7NF8.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH79PRPHAQ7NF8,LSTSHOH79PRPHAQ7NF8O6VE22
shoes for men,1,https://www.flipkart.com/onmac-enterprises-running-shoes-men-sports/p/itme5b1ef8bde66f?pid=SHOH7ZWTRSHXEXQW&lid=LSTSHOH7ZWTRSHXEXQWXP6LMO&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_16&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7ZWTRSHXEXQW.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7ZWTRSHXEXQW,LSTSHOH7ZWTRSHXEXQWXP6LMO
shoes for men,1,https://www.flipkart.com/empeno-chunky-fashionable-sneaker-running-shoes-rubber-outsole-sneakers-men/p/itmab08cdca21a07?pid=SHOH7ZMVMZPJSD3R&lid=LSTSHOH7ZMVMZPJSD3R29SCXX&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_17&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7ZMVMZPJSD3R.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7ZMVMZPJSD3R,LSTSHOH7ZMVMZPJSD3R29SCXX
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-casual-shoes-sneakers-men/p/itm2d61e91237403?pid=SHOHF5NKWWHMUVKZ&lid=LSTSHOHF5NKWWHMUVKZ67HSW9&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_18&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOHF5NKWWHMUVKZ.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOHF5NKWWHMUVKZ,LSTSHOHF5NKWWHMUVKZ67HSW9
shoes for men,1,https://www.flipkart.com/aadi-men-s-comfortable-lightweight-outdoor-lace-up-classy-walking-gym-casual-sport-running-shoes-men/p/itm0143255790b43?pid=SHOH8YCJBDYK5U3H&lid=LSTSHOH8YCJBDYK5U3H8CZTWU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_19&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH8YCJBDYK5U3H.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH8YCJBDYK5U3H,LSTSHOH8YCJBDYK5U3H8CZTWU
shoes for men,1,https://www.flipkart.com/puma-cblock-men/p/itm766bdc8785931?pid=SHOH7Z7MXSEKPPSF&lid=LSTSHOH7Z7MXSEKPPSFNCSLBT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_20&otracker=search&iid=b97caefe-9cc8-4357-abea-2184c1ade3db.SHOH7Z7MXSEKPPSF.SEARCH&ssid=vjgr4w0rrk0000001737018361616&qH=9b802224ae37096b,SHOH7Z7MXSEKPPSF,LSTSHOH7Z7MXSEKPPSFNCSLBT
