search_term,page_number,link,pid,lid,title,price
bags for men,19,https://www.flipkart.com/skybags-klik-daypack-01-grey-11-l-backpack/p/itmfb51c802b3934?pid=BKPGTQ3CG7BQTYX2&lid=LSTBKPGTQ3CG7BQTYX2KOKFLR&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_750&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPGTQ3CG7BQTYX2.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPGTQ3CG7BQTYX2,LSTBKPGTQ3CG7BQTYX2KOKFLR,SKYBAGS  Small 11 L Backpack KLIK DAYPACK 01 GREY  (Grey),₹209
bags for men,19,https://www.flipkart.com/lino-perros-women-backpack-13-inch/p/itm897fccb400193?pid=BAGFP3RCY66EGJVG&lid=LSTBAGFP3RCY66EGJVGWBBSO3&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_751&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BAGFP3RCY66EGJVG.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BAGFP3RCY66EGJVG,LSTBAGFP3RCY66EGJVGWBBSO3,LINO PERROS  Small 13 inch Backpack Women Backpack  (Grey),"₹1,089"
bags for men,19,https://www.flipkart.com/xfast-fashion-daypack-bags-backpack-daily-use-library-office-outdoor-hiking-25-l/p/itmaf6df00b3a7ca?pid=BKPGRVGGUVYJTASA&lid=LSTBKPGRVGGUVYJTASA6WAAEE&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_752&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPGRVGGUVYJTASA.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPGRVGGUVYJTASA,LSTBKPGRVGGUVYJTASA6WAAEE,Xfast fashion  Medium 25 L Backpack DAYPACK Bags Backpack for daily use library office outdoor hiking  (Black),₹284
bags for men,19,https://www.flipkart.com/hrx-hrithik-roshan-laptop-backpack-41-l/p/itm910bca7b9df60?pid=BKPH4N5WYGPRYDVX&lid=LSTBKPH4N5WYGPRYDVXZ02SRA&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_753&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPH4N5WYGPRYDVX.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPH4N5WYGPRYDVX,LSTBKPH4N5WYGPRYDVXZ02SRA,HRX by Hrithik Roshan  Large 41 L Laptop Backpack Laptop Backpack  (Blue),₹999
bags for men,19,https://www.flipkart.com/starwood-stylish-medium-30l-backpack-men-s-women-office-college-school-laptop-bag-30-l/p/itme70117ac19fc7?pid=BKPGWC969JDGXRNX&lid=LSTBKPGWC969JDGXRNXRBCOLQ&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_754&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPGWC969JDGXRNX.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPGWC969JDGXRNX,LSTBKPGWC969JDGXRNXRBCOLQ,Starwood  Medium 30 L Laptop Backpack Stylish Medium 30L Backpack For Men's & Women Office/College/School Laptop Bag  (Blue),₹969
bags for men,19,https://www.flipkart.com/perfect-star-70-l-travel-backpack-outdoor-sport-hiking-trekking-bag-camping-rucksack/p/itm19d14eeedd99a?pid=BKPGBNZ7ZG4ZVREF&lid=LSTBKPGBNZ7ZG4ZVREFXDKDID&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_755&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPGBNZ7ZG4ZVREF.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPGBNZ7ZG4ZVREF,LSTBKPGBNZ7ZG4ZVREFXDKDID,"PERFECT STAR  Large 70 L Backpack 70 L TRAVEL BACKPACK FOR OUTDOOR SPORT HIKING TREKKING BAG CAMPING RUCKSACK  (Red, Black)",₹675
bags for men,19,https://www.flipkart.com/ms-moonstar-latest-trendy-laptop-backpack-30-l/p/itma0740846403b7?pid=BKPFG5NHVQYYXQUY&lid=LSTBKPFG5NHVQYYXQUYURJI37&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_756&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPFG5NHVQYYXQUY.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPFG5NHVQYYXQUY,LSTBKPFG5NHVQYYXQUYURJI37,"MS MOONSTAR  Medium 30 L Laptop Backpack Latest & Trendy Laptop Backpack  (Blue, Black)",₹365
bags for men,19,https://www.flipkart.com/f-gear-burner-v2-26-l-backpack/p/itmf3umapnpkhszn?pid=BKPENSTYU3HFGSNE&lid=LSTBKPENSTYU3HFGSNEQ5HX6Q&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_757&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPENSTYU3HFGSNE.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPENSTYU3HFGSNE,LSTBKPENSTYU3HFGSNEQ5HX6Q,"F GEAR  Medium 26 L Laptop Backpack Burner V2  (Black, Grey)",₹720
bags for men,19,https://www.flipkart.com/priority-glam-001-college-bag-lvd-40-l-backpack/p/itm31a236f9aab75?pid=BKPH38FVXP6TFQBB&lid=LSTBKPH38FVXP6TFQBBYNLEJZ&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_758&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPH38FVXP6TFQBB.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPH38FVXP6TFQBB,LSTBKPH38FVXP6TFQBBYNLEJZ,Priority  Large 40 L Backpack Glam 001 College Bag LVD  (Purple),"₹1,199"
bags for men,19,https://www.flipkart.com/provogue-unisex-backpack-school-office-travel-casual-outdoor-hiking-15-l/p/itmdee5618747806?pid=BKPGMGYXRYPZTHVT&lid=LSTBKPGMGYXRYPZTHVTJ1ZMJB&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_759&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPGMGYXRYPZTHVT.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPGMGYXRYPZTHVT,LSTBKPGMGYXRYPZTHVTJ1ZMJB,PROVOGUE  Small 15 L Backpack Unisex Backpack For School/Office/Travel/Casual Outdoor Hiking  (Black),₹249
