search_term,page_number,link,pid,lid
lakme eyeconic,1,https://www.flipkart.com/lakm-eyeconic-volume-mascara-8-5-ml/p/itmffcd2f444d980?pid=MCRG7K2MYHAF7J3U&lid=LSTMCRG7K2MYHAF7J3UTP22S8&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_11&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.MCRG7K2MYHAF7J3U.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,MCRG7K2MYHAF7J3U,LSTMCRG7K2MYHAF7J3UTP22S8
lakme eyeconic,1,https://www.flipkart.com/lakm-9to5-eyeconic-shadow-stack-goldnhourgodess-7gm-7-g/p/itm828dadf9bdcee?pid=ESDGZNFJEH2ZY4BS&lid=LSTESDGZNFJEH2ZY4BSR4TNBB&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_12&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.ESDGZNFJEH2ZY4BS.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,ESDGZNFJEH2ZY4BS,LSTESDGZNFJEH2ZY4BSR4TNBB
lakme eyeconic,1,https://www.flipkart.com/lakm-eyeconic-brow-boss-brown-5g/p/itmf145cecd0a926?pid=EBPGY2QBGVZGMDSY&lid=LSTEBPGY2QBGVZGMDSYOG4RUH&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_13&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.EBPGY2QBGVZGMDSY.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,EBPGY2QBGVZGMDSY,LSTEBPGY2QBGVZGMDSYOG4RUH
lakme eyeconic,1,https://www.flipkart.com/lakm-9to5-eyeconic-shadow-stack-pinkbeauty-7gm-7-g/p/itm138ed957922f5?pid=ESDGZNFJYYHXQJ4R&lid=LSTESDGZNFJYYHXQJ4RMSPK4C&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_14&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.ESDGZNFJYYHXQJ4R.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,ESDGZNFJYYHXQJ4R,LSTESDGZNFJYYHXQJ4RMSPK4C
lakme eyeconic,1,https://www.flipkart.com/lakm-9to5-eyeconic-shadow-stack-nudebomb-7gm-7-g/p/itm5b60a2970451b?pid=ESDGZNFJDAEEXP97&lid=LSTESDGZNFJDAEEXP97ICZ7M1&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_15&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.ESDGZNFJDAEEXP97.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,ESDGZNFJDAEEXP97,LSTESDGZNFJDAEEXP97ICZ7M1
lakme eyeconic,1,https://www.flipkart.com/lakm-eyeconic-brow-boss-deep-brown-5g/p/itme3adab2e7485e?pid=EBPGY2QFK5FJJCHR&lid=LSTEBPGY2QFK5FJJCHRMVKW0P&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_16&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.EBPGY2QFK5FJJCHR.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,EBPGY2QFK5FJJCHR,LSTEBPGY2QFK5FJJCHRMVKW0P
lakme eyeconic,1,https://www.flipkart.com/lakm-9to5-eyeconic-shadow-stack-smokeydiva-7gm-7-g/p/itm0f65427a93f70?pid=ESDGZNFJPMSZSHV3&lid=LSTESDGZNFJPMSZSHV3J3YKJD&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_17&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.ESDGZNFJPMSZSHV3.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,ESDGZNFJPMSZSHV3,LSTESDGZNFJPMSZSHV3J3YKJD
lakme eyeconic,1,https://www.flipkart.com/alizz-clip-hair-extension/p/itm1b916ee4a6cac?pid=HAEG2N2CAHYMXUGP&lid=LSTHAEG2N2CAHYMXUGPJOSP5Z&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_18&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.HAEG2N2CAHYMXUGP.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,HAEG2N2CAHYMXUGP,LSTHAEG2N2CAHYMXUGPJOSP5Z
lakme eyeconic,1,https://www.flipkart.com/tee-tree-eyeconic-kajal-green-tea-matte-lipstic-super-maroon-lipstic-macara/p/itm85fb2fe10a7bf?pid=CBKH5C3P8UKQU5RS&lid=LSTCBKH5C3P8UKQU5RSTFC7JA&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_19&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.CBKH5C3P8UKQU5RS.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,CBKH5C3P8UKQU5RS,LSTCBKH5C3P8UKQU5RSTFC7JA
lakme eyeconic,1,https://www.flipkart.com/alizz-clip-beautiful-hairpiece-hair-extension/p/itmf8a3366af401b?pid=HAEG2N25MGFP9U3W&lid=LSTHAEG2N25MGFP9U3WXCMN0H&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_20&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.HAEG2N25MGFP9U3W.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,HAEG2N25MGFP9U3W,LSTHAEG2N25MGFP9U3WXCMN0H
lakme eyeconic,1,https://www.flipkart.com/glamierre-beauty-butter-paper-food-wrapping-burger-fast-parchment-1-kg-eyeliner-mascara-kajal-pencil-set-4/p/itm812bc2c71d590?pid=CBKH43GD2SZNFSBZ&lid=LSTCBKH43GD2SZNFSBZW2CG4W&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_21&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.CBKH43GD2SZNFSBZ.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,CBKH43GD2SZNFSBZ,LSTCBKH43GD2SZNFSBZW2CG4W
lakme eyeconic,1,https://www.flipkart.com/lakm-ananyas-eyeconic-makeup-kit/p/itmd57454106f8b5?pid=KJLGFT2FU39XVZMZ&lid=LSTKJLGFT2FU39XVZMZKPDDRW&marketplace=FLIPKART&q=lakme+eyeconic&store=search.flipkart.com&srno=s_1_22&otracker=search&iid=221bb9f1-cc6c-4651-a5a3-9871e1192312.KJLGFT2FU39XVZMZ.SEARCH&ssid=u7e98dvhjk0000001737018920286&qH=bc9a2d9c5f550ac6,KJLGFT2FU39XVZMZ,LSTKJLGFT2FU39XVZMZKPDDRW
