page_number,link
1,https://www.flipkart.com/luzimaisa-purple-up-12-hour-liquid-mousse-lipstick-women-matte-finish/p/itm8f1008d263efb?pid=LSKH7YYUJP6UXCFH&lid=LSTLSKH7YYUJP6UXCFHMY37KB&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_4&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7YYUJP6UXCFH.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/renee-colorlock-transfer-not-matte-lip-crayon-sharpener-waterproof-smudgeproof/p/itmd02af598faebd?pid=LSKHFYCCSYVCYAZH&lid=LSTLSKHFYCCSYVCYAZHNI4K2V&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_5&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKHFYCCSYVCYAZH.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/renee-colorlock-transfer-not-matte-lip-crayon-sharpener-waterproof-smudgeproof/p/itmd02af598faebd?pid=LSKHFYCCSYVCYAZH&lid=LSTLSKHFYCCSYVCYAZHNI4K2V&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_5&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKHFYCCSYVCYAZH.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/renee-colorlock-transfer-not-matte-lip-crayon-sharpener-waterproof-smudgeproof/p/itmd02af598faebd?pid=LSKHFYCCSYVCYAZH&lid=LSTLSKHFYCCSYVCYAZHNI4K2V&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_5&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKHFYCCSYVCYAZH.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/gabbu-ultra-pigmented-creamy-matte-waterproof-lipstick-girls-women/p/itma7e89e148b64e?pid=LSKH8YJGZ96WTPZG&lid=LSTLSKH8YJGZ96WTPZGF6YIC1&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_6&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8YJGZ96WTPZG.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/gabbu-ultra-pigmented-creamy-matte-waterproof-lipstick-girls-women/p/itma7e89e148b64e?pid=LSKH8YJGZ96WTPZG&lid=LSTLSKH8YJGZ96WTPZGF6YIC1&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_6&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8YJGZ96WTPZG.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/gabbu-ultra-pigmented-creamy-matte-waterproof-lipstick-girls-women/p/itma7e89e148b64e?pid=LSKH8YJGZ96WTPZG&lid=LSTLSKH8YJGZ96WTPZGF6YIC1&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_6&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8YJGZ96WTPZG.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/gulglow99-long-lasting-waterproof-liquid-lipstick-suitable-all-skin-types-matte/p/itmbb6acc7ee6810?pid=LSKH7YCPUVKDJZMC&lid=LSTLSKH7YCPUVKDJZMC0FTWNH&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_7&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7YCPUVKDJZMC.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/gulglow99-long-lasting-waterproof-liquid-lipstick-suitable-all-skin-types-matte/p/itmbb6acc7ee6810?pid=LSKH7YCPUVKDJZMC&lid=LSTLSKH7YCPUVKDJZMC0FTWNH&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_7&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7YCPUVKDJZMC.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/gulglow99-long-lasting-waterproof-liquid-lipstick-suitable-all-skin-types-matte/p/itmbb6acc7ee6810?pid=LSKH7YCPUVKDJZMC&lid=LSTLSKH7YCPUVKDJZMC0FTWNH&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_7&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7YCPUVKDJZMC.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/jiwoo-kn-dec24-mattelsitpick5623/p/itmd2a83b002d85b?pid=LSKH8Y8CC8MQMJ6Y&lid=LSTLSKH8Y8CC8MQMJ6YIM6X2L&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_8&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8Y8CC8MQMJ6Y.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/jiwoo-kn-dec24-mattelsitpick5623/p/itmd2a83b002d85b?pid=LSKH8Y8CC8MQMJ6Y&lid=LSTLSKH8Y8CC8MQMJ6YIM6X2L&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_8&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8Y8CC8MQMJ6Y.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/jiwoo-kn-dec24-mattelsitpick5623/p/itmd2a83b002d85b?pid=LSKH8Y8CC8MQMJ6Y&lid=LSTLSKH8Y8CC8MQMJ6YIM6X2L&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_8&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8Y8CC8MQMJ6Y.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/luzimaisa-perfect-jelly-temperature-change-long-lasting-color-lipstick/p/itmee009937b539f?pid=LSKH7Z47UZFNNFEQ&lid=LSTLSKH7Z47UZFNNFEQQ3IZOI&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_9&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7Z47UZFNNFEQ.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/luzimaisa-perfect-jelly-temperature-change-long-lasting-color-lipstick/p/itmee009937b539f?pid=LSKH7Z47UZFNNFEQ&lid=LSTLSKH7Z47UZFNNFEQQ3IZOI&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_9&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7Z47UZFNNFEQ.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/luzimaisa-perfect-jelly-temperature-change-long-lasting-color-lipstick/p/itmee009937b539f?pid=LSKH7Z47UZFNNFEQ&lid=LSTLSKH7Z47UZFNNFEQQ3IZOI&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_9&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7Z47UZFNNFEQ.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/mf-liquide-matte-lipstick-12pcs-set-waterproof-long-lasting/p/itm84f59d08980a3?pid=LSKH8YC5ZUUHTXA7&lid=LSTLSKH8YC5ZUUHTXA7LB6XLJ&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_10&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8YC5ZUUHTXA7.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/mf-liquide-matte-lipstick-12pcs-set-waterproof-long-lasting/p/itm84f59d08980a3?pid=LSKH8YC5ZUUHTXA7&lid=LSTLSKH8YC5ZUUHTXA7LB6XLJ&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_10&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8YC5ZUUHTXA7.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/mf-liquide-matte-lipstick-12pcs-set-waterproof-long-lasting/p/itm84f59d08980a3?pid=LSKH8YC5ZUUHTXA7&lid=LSTLSKH8YC5ZUUHTXA7LB6XLJ&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_10&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH8YC5ZUUHTXA7.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
1,https://www.flipkart.com/luipui-beautiful-smooth-red-crayon-matte-finish-lipstick-pack-1/p/itm539fa1baadd22?pid=LSKH7X6Z8E9VQZC6&lid=LSTLSKH7X6Z8E9VQZC6O9QY2N&marketplace=FLIPKART&q=lipstick&store=g9b%2Fffi%2Ftv5%2Funa&srno=s_1_11&otracker=search&iid=00cb0613-a014-436f-8301-6cc35b5f26cc.LSKH7X6Z8E9VQZC6.SEARCH&ssid=wv1k386ytc0000001736244448656&qH=0f97737ad54537c5
