page_number,link
1,https://www.flipkart.com/peelu-new-retro-shoes-high-premium-quality-women-men-kids-unisex-sneakers/p/itmf1d8fdb9a6ea8?pid=SHOHY3YZAXVPQHUH&lid=LSTSHOHY3YZAXVPQHUHJUIDQT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_5&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOHY3YZAXVPQHUH.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/peelu-new-retro-shoes-high-premium-quality-women-men-kids-unisex-sneakers/p/itmf1d8fdb9a6ea8?pid=SHOHY3YZAXVPQHUH&lid=LSTSHOHY3YZAXVPQHUHJUIDQT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_5&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOHY3YZAXVPQHUH.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/peelu-new-retro-shoes-high-premium-quality-women-men-kids-unisex-sneakers/p/itmf1d8fdb9a6ea8?pid=SHOHY3YZAXVPQHUH&lid=LSTSHOHY3YZAXVPQHUHJUIDQT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_5&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOHY3YZAXVPQHUH.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/24era-premium-quality-running-shoes-casuals-men/p/itm875d48db84015?pid=SHOH7Z7ZGEG5MYA8&lid=LSTSHOH7Z7ZGEG5MYA8ZOIRE4&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_6&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOH7Z7ZGEG5MYA8.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/24era-premium-quality-running-shoes-casuals-men/p/itm875d48db84015?pid=SHOH7Z7ZGEG5MYA8&lid=LSTSHOH7Z7ZGEG5MYA8ZOIRE4&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_6&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOH7Z7ZGEG5MYA8.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/24era-premium-quality-running-shoes-casuals-men/p/itm875d48db84015?pid=SHOH7Z7ZGEG5MYA8&lid=LSTSHOH7Z7ZGEG5MYA8ZOIRE4&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_6&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOH7Z7ZGEG5MYA8.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/24era-premium-quality-running-shoes-casuals-men/p/itm88068aa95377e?pid=SHOH7Z7ZFRXU8ZYR&lid=LSTSHOH7Z7ZFRXU8ZYR6UFZAC&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_7&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOH7Z7ZFRXU8ZYR.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/24era-premium-quality-running-shoes-casuals-men/p/itm88068aa95377e?pid=SHOH7Z7ZFRXU8ZYR&lid=LSTSHOH7Z7ZFRXU8ZYR6UFZAC&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_7&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOH7Z7ZFRXU8ZYR.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/24era-premium-quality-running-shoes-casuals-men/p/itm88068aa95377e?pid=SHOH7Z7ZFRXU8ZYR&lid=LSTSHOH7Z7ZFRXU8ZYR6UFZAC&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_7&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOH7Z7ZFRXU8ZYR.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
1,https://www.flipkart.com/nizaro-zardi0-sneakers-men/p/itmad37ba617e197?pid=SHOH7YMG7G4N6ZZK&lid=LSTSHOH7YMG7G4N6ZZKEEGPXF&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_8&otracker=search&iid=a3e29154-8421-45ef-b8da-500d4118c9ca.SHOH7YMG7G4N6ZZK.SEARCH&ssid=flohi47gao0000001736243856524&qH=9b802224ae37096b
